id,title,description,category,location,budget_min,budget_max,quantity,source,url,contact
D001,Looking for private label electrolyte gummies,Buyer wants sugar-free electrolyte gummies for SEA ecommerce launch,nutraceutical/private-label,Thailand/SEA,2000,12000,5000,web_search,https://example.com/demand/electrolyte-gummies,buyer@example.com
D002,Sourcing collagen stick pack manufacturer,Need OEM collagen peptide stick packs with low MOQ for DTC brand,nutraceutical/oem,Singapore/SEA,5000,30000,10000,web_search,https://example.com/demand/collagen-stickpack,procurement@example.com
D003,Need AI chatbot agency for clinic leads,Clinic group seeking AI chatbot setup for lead capture and follow-up,ai-services,Thailand,3000,15000,1,web_search,https://example.com/demand/ai-chatbot-clinic,ops@example.com
D004,Seeking TikTok short video production partner,Consumer brand needs ongoing vertical video production for product launches,creative-services,Malaysia/SEA,1500,8000,12,web_search,https://example.com/demand/tiktok-video,marketing@example.com
D005,Buyer request for bamboo furniture supplier,Importer wants eco bamboo chairs and tables for hotel projects,furniture/b2b,UAE/Global,10000,60000,200,web_search,https://example.com/demand/bamboo-furniture,buying@example.com
D006,Need reusable food packaging supplier,Distributor sourcing compostable takeaway packaging for restaurants,packaging,Australia/SEA,8000,50000,50000,web_search,https://example.com/demand/food-packaging,sourcing@example.com
D007,Looking for white-label skincare serum producer,Brand seeks niacinamide and peptide serum OEM with export capability,beauty/oem,Thailand/Global,4000,25000,3000,web_search,https://example.com/demand/skincare-serum,brand@example.com
D008,Request for cold email lead generation team,B2B SaaS startup needs outbound lead gen agency for US market,marketing-services,Global,2000,10000,1,web_search,https://example.com/demand/cold-email,founder@example.com
D009,Need rubber glove wholesaler,Healthcare buyer sourcing nitrile gloves with CE/FDA documentation,medical-supplies,EU/Global,15000,90000,100000,web_search,https://example.com/demand/nitrile-gloves,healthbuyer@example.com
D010,Looking for solar installer subcontractor,Project developer needs certified rooftop solar install teams in Bangkok,energy-services,Thailand,5000,40000,3,web_search,https://example.com/demand/solar-installer,pm@example.com
